Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
01/11/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Advanced Research And Invention Agency (Aria),629988,1363578,Dsit - Advanced Research And Invention Agency (Aria) Financing-grant-in-aid To Arms Length Bodies,Nw1 2da,Grant
01/11/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Ukri - Biotechnology And Biological Science Research Council,629989,15000000,Dsit - Bbsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Wga Only
01/11/2024,Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Ukri - Biotechnology And Biological Science Research Council,629987,10000000,Dsit - Research Councils Pension Scheme (Bbsrc) - Grant-current Grants To Central Government,Sn2 1uh,Wga Only
29/11/2024,Cl - Cash Cfers Paid Over To Hmt,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Consolidated Fund Account 6622,639734,463022.38,Dsit - Innovate Loans Interest Income Cfer-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
15/11/2024,Consultancy Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Silicon Catalyst Uk Ltd,635358,47233,Dsit - Esu - Semis - Programme-consultancy Expenditure,Sw1p 2pn,Vendor
22/11/2024,Consultancy Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Perspective Economics Ltd,637003,81150,Dsit - Esu - Semis - Programme-consultancy Expenditure,Bt1 2be,Vendor
14/11/2024,R & D Salaries - Seconded Uk Staff,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Department Of Health And Social Care,634742,25362.54,Dsit - Climate Energy And The Environment-r & D Salaries - Seconded Uk Staff,Se1 6ef,Wga Only
08/11/2024,Technical Advice / Services & Support,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Technopolis Ltd,633786,43960,Dsit - Ols: Database And Web Portal-technical Advice / Services & Support,Bn1 1ee,Vendor
27/11/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Nesta,637910,30201.6,Dsit - Ai Manchester Prize-r & D Current Grants To Private Sector - Npish,Ec4y 0ds,Grant
27/11/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Nesta,637911,52291.2,Dsit - Ai Manchester Prize-r & D Current Grants To Private Sector - Npish,Ec4y 0ds,Grant
