Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
02/12/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Economic And Social Research Council,638465,55000000,Dsit - Esrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1uj,Wga Only
02/12/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Medical Research Council,638467,162093000,Dsit - Mrc Financing-grant-in-aid To Arms Length Bodies,W1n 4al,Wga Only
02/12/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Natural Environment Research Council,638469,64000000,Dsit - Nerc Financing-grant-in-aid To Arms Length Bodies,Sn2 1eu,Wga Only
02/12/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Science And Technology Facilities Council,638472,150000000,Dsit - Stfc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Wga Only
02/12/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri-innovate Uk,638474,100000000,Dsit - Tsb Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
02/12/2024,Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,638476,10000000,Dsit - Research Councils Pension Scheme (Bbsrc) - Grant-current Grants To Central Government,Sn2 1uh,Wga Only
02/12/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Advanced Research And Invention Agency (Aria),638478,3915219,Dsit - Advanced Research And Invention Agency (Aria) Financing-grant-in-aid To Arms Length Bodies,Nw1 2da,Grant
04/12/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Econocom Products & Solutions Uk Ltd T/A Econocom,640021,190315.2,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec4r 1ap,Vendor
12/12/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,Silicon Catalyst Uk Ltd,643386,47233,Dsit - Esu - Semis - Programme-consultancy Expenditure,Sw1p 2pn,Vendor
23/12/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Rsm Uk Consulting Llp,626614,45627,Dsit - Sof-digital Connectivity Infrastructure Accelerator-consultancy Expenditure,Ec4a 4ab,Vendor
23/12/2024,Other Goods/Services,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Department For Energy Security And Net Zero (Desnz),644806,48957.6,Dsit - Devolved Admin-other Goods/Services,Sw1h 0et,Wga Only
18/12/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Barclays Bank Uk Plc (Eagle Labs),644840,159231.65,Dsit - Tech Nation Grant-current Grants To Private Sector - Npish,E14 5hp,Vendor
24/12/2024,Economic Consultancy & Research,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Novel Design Ltd,646141,51259,Dsit - Digital Skills & Inclusion-economic Consultancy & Research,Sl7 3hn,Vendor
10/12/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Information Commissioners Office,642530,1600000,Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
10/12/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Information Commissioners Office,642532,790000,Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
10/12/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Information Commissioners Office,642534,60000,Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
20/12/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,629632,548903.95,Dsit - Matrix Admin-uksbs - Service Costs,Np10 8qq,Vendor
04/12/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,635750,97800,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
04/12/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,635760,161130,Dsit - Matrix Admin-technical Advice / Services & Support,E1 1ew,Vendor
03/12/2024,Hire Of Interim Managers,Dsit - Corporate Services - Dsit - Matrix Directorate,Investigo Ltd,640004,28458,Dsit - Matrix Admin-hire Of Interim Managers,Ec2m 2qs,Vendor
18/12/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Turner And Townsend Cost Management Ltd,640385,34020,Dsit - Matrix Admin-other Professional Services,Ls18 4gh,Vendor
05/12/2024,Organisational  Change Management Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Veran Performance Ltd,640709,163993.6,Dsit - Matrix Admin-org  Change Managt Consultcy,Kt8 9ju,Vendor
09/12/2024,Ppm Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Ernst And Young Llp,641837,73333,Dsit - Matrix Admin-ppm Consultancy,Ec2v 7tl,Vendor
10/12/2024,Organisational  Change Management Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Investigo Ltd,642060,64110,Dsit - Matrix Admin-org  Change Managt Consultcy,E1 6eg,Vendor
10/12/2024,Organisational  Change Management Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Investigo Ltd,642156,58350,Dsit - Matrix Admin-org  Change Managt Consultcy,E1 6eg,Vendor
19/12/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,642605,42720,Dsit - Matrix Admin-technical Advice / Services & Support,E1 1ew,Vendor
19/12/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,642621,81420,Dsit - Matrix Admin-technical Advice / Services & Support,E1 1ew,Vendor
19/12/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,642623,37920,Dsit - Matrix Admin-technical Advice / Services & Support,E1 1ew,Vendor
19/12/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,642633,53430,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
19/12/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,642635,161370,Dsit - Matrix Admin-technical Advice / Services & Support,E1 1ew,Vendor
19/12/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,642647,140880,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
06/12/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,638869,4387431.09,Dsit - Met Office - Supercomputer R&D-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
04/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,638895,536918,Dsit - Nms Flow Programme At Nel-r&D Laboratory Services,G75 0qf,Vendor
