Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
26/07/2024,R & D Uncapitalised Construction Costs,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Government Property Agency,611113,"£904,615.47",Dsit - Ecmwf Hq-r & D Uncapitalised Construction Costs,B3 2bj,Vendor
10/07/2024,Marketing And Media,Dsit - Corporate Services - Dsit - Communications,Ipsos (Market Research) Ltd,608170,"£34,309.00",Dsit - Corporate Services Admin-marketing And Media,E1w 1yw,Vendor
05/07/2024,R & D Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Responsible Technology Adoption Unit,Nesta,598445,"£28,599.60",Dsit - Cdei - Programme-r & D Current Grants To Private Sector - Npish,Ec4y 0ds,Grant
17/07/2024,Uk Subscriptions,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Business Funding Research Ltd T/A Beauhurst,610090,"£38,394.00",Dsit - Admin Nrf Digital Tech-uk Subscriptions,Mk44 3ql,Vendor
12/07/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Information Commissioners Office,608706,"£449,999.00",Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
15/07/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Information Commissioners Office,609324,"£1,740,000.00",Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
26/07/2024,Marketing And Media,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Technopolis Ltd,586312,"£40,000.00",Dsit - Devolved Admin-marketing And Media,Bn1 1ee,Vendor
04/07/2024,Other It Consultancy,Dsit - Chief Scientific Adviser - Dsit - Csa Dg Office,Alexander Mann Solutions Ltd,606550,"£56,700.00",Dsit - Corporate Services Admin-other It Consultancy,Ec2m 5tq,Vendor
22/07/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,590254,"£99,449.08",Dsit - Corporate Services Admin-uksbs - Service Costs,Sn2 1ff,Vendor
02/07/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Investigo Ltd,606252,"£76,800.00",Dsit - Corporate Services Admin-other Professional Services,E1 6eg,Vendor
02/07/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Investigo Ltd,606253,"£51,990.00",Dsit - Corporate Services Admin-other Professional Services,E1 6eg,Vendor
02/07/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Investigo Ltd,606267,"£46,440.00",Dsit - Corporate Services Admin-other Professional Services,Ec2m 2qs,Vendor
11/07/2024,External Legal Advice And Service,Dsit - Corporate Services - Dsit - Matrix Directorate,Dac Beachcroft Llp,607777,"£36,530.64",Dsit - Corporate Services Admin-external Legal Advice And Service,Ec4a 1bn,Vendor
30/07/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,608800,"£166,260.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
25/07/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,611062,"£344,173.91",Dsit - Matrix Admin-uksbs - Service Costs,Np10 8qq,Vendor
30/07/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Veran Performance Ltd,612214,"£185,839.16",Dsit - Matrix Admin-other Professional Services,Kt8 9ju,Vendor
31/07/2024,Ppm Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Ernst And Young Llp,612529,"£61,562.00",Dsit - Matrix Admin-ppm Consultancy,Se1 2af,Vendor
01/07/2024,Project Management Costs,Dsit - Digital And Technology Group - Dsit - Ai Policy,"Foreign, Commonwealth And Development Office",594738,"£19,653,753.00",Dsit - Digital Tech Nrf-project Management Costs,Mk10 1px,Wga Only
01/07/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,605273,"£226,069.05",Dsit - Npl Strategic Priorities Fund Analysis For Innovators-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
05/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,605274,"£1,219,667.00",Dsit - Nms - Npl Cross Sector-r&D Laboratory Services,Tw11 0lw,Vendor
05/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,605276,"£1,548,000.00",Dsit - Nms - Npl Life Sciences And Health-r&D Laboratory Services,Tw11 0lw,Vendor
05/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,605278,"£1,661,333.33",Dsit - Nms - Npl Energy And Environment-r&D Laboratory Services,Tw11 0lw,Vendor
05/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,605281,"£1,383,167.67",Dsit - Nms - Npl Digital-r&D Laboratory Services,Tw11 0lw,Vendor
05/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,605283,"£1,537,333.33",Dsit - Nms - Npl Advanced Manufacturing-r&D Laboratory Services,Tw11 0lw,Vendor
