Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
01/05/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Advanced Research And Invention Agency (Aria),591428,1546676,Dsit - Advanced Research And Invention Agency (Aria) Financing-grant-in-aid To Arms Length Bodies,Nw1 2db,Grant
03/05/2024,Other Services,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),593564,429307.49,Dsit - Cs Transition Costs Admin-other Services,Sw1h 0et,Wga Only
03/05/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,Perspective Economics Ltd,590034,37219.83,Dsit - Directors Of International Admin-consultancy Expenditure,Bt1 2be,Vendor
20/05/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,Silicon Catalyst Uk Ltd,597093,47233,Dsit - Esu - Semis - Programme-consultancy Expenditure,Sw1p 2pn,Vendor
03/05/2024,R & D Salaries - Seconded Uk Staff,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Science",Department Of Health And Social Care,593536,151914.42,Dsit - Climate Energy And The Environment-r & D Salaries - Seconded Uk Staff,Ls2 7ue,Wga Only
22/05/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Commercial,Capgemini Uk Plc,597086,29200,Dsit - Corporate Services Admin-technical Advice / Services & Support,Gu21 6db,Vendor
22/05/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Commercial,Capgemini Uk Plc,597087,47537.5,Dsit - Corporate Services Admin-technical Advice / Services & Support,Gu21 6db,Vendor
22/05/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Commercial,Capgemini Uk Plc,597098,36530,Dsit - Corporate Services Admin-technical Advice / Services & Support,Gu21 6db,Vendor
21/05/2024,Marketing And Media,Dsit - Corporate Services - Dsit - Communications,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,594343,138574.83,Dsit - Superpower Campaign Communications-marketing And Media,Se1 0sw,Vendor
21/05/2024,Marketing And Media,Dsit - Corporate Services - Dsit - Communications,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,597203,64818.87,Dsit - Superpower Campaign Communications-marketing And Media,Se1 0sw,Vendor
01/05/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ipsos (Market Research) Ltd,592931,50200,Dsit - Trigs - Itu & Internet Governance - Admin-consultancy Expenditure,E1w 1yw,Vendor
16/05/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Touchlight Dna Services Ltd,596266,252000,Dsit - Life Sciences Innovative Manufacturing Fund-capital Grants To Private Sector - Companies,Tw12 2er,Grant
01/05/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Data Policy,Information Commissioners Office,592907,490001.59,Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
17/05/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Data Policy,Information Commissioners Office,596763,730000,Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
01/05/2024,Uk Subscriptions 2,Dsit - Digital And Technology Group - Dsit - International,Commonwealth Telecommunications Organisation,593156,25000,Dsit - Trigs - Itu & Internet Governance - Admin-uk Subscriptions 2,W6 0lr,Grant
08/05/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Technopolis Ltd,594649,79825,Dsit - Sig Strategic Analysis And Economic Research-r & D Research And Development Expenditure,Bn1 1ee,Vendor
07/05/2024,Other It Consultancy,Dsit - Chief Scientific Adviser - Dsit - Csa Dg Office,Alexander Mann Solutions Ltd,592210,56700,Dsit - Corporate Services Admin-other It Consultancy,Ec2n 3aq,Vendor
24/05/2024,Other It Consultancy,Dsit - Chief Scientific Adviser - Dsit - Csa Dg Office,Alexander Mann Solutions Ltd,597724,37800,Dsit - Corporate Services Admin-other It Consultancy,Ec2m 5tq,Vendor
31/05/2024,Hospitality - Uk,Dsit - Digital And Technology Group - Dsit - Ai Policy,City Of London,591737,50000,Dsit - Admin Nrf Digital Tech-hospitality - Uk,Ec2p 2ej,Vendor
23/05/2024,Ppm Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Ernst And Young Llp,587361,134000,Dsit - Corporate Services Admin-ppm Consultancy,Se1 2af,Vendor
07/05/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,588590,27480,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
21/05/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,590257,25296.65,Dsit - Corporate Services Admin-uksbs - Service Costs,Sn2 1ff,Vendor
07/05/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,590262,214688.52,Dsit - Corporate Services Admin-uksbs - Service Costs,Sn2 1ff,Vendor
02/05/2024,External Legal Advice And Service,Dsit - Corporate Services - Dsit - Matrix Directorate,Dac Beachcroft Llp,593181,107693.4,Dsit - Corporate Services Admin-external Legal Advice And Service,Bs99 7ur,Vendor
03/05/2024,External Legal Advice And Service,Dsit - Corporate Services - Dsit - Matrix Directorate,Dac Beachcroft Llp,593590,55706.12,Dsit - Corporate Services Admin-external Legal Advice And Service,Ec4a 1bn,Vendor
15/05/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Veran Performance Ltd,594968,402051.6,Dsit - Corporate Services Admin-other Professional Services,Kt8 9ju,Vendor
21/05/2024,Uksbs - Service Costs,Dsit - Corporate Services - Dsit - Matrix Directorate,Uk Shared Business Services Ltd,597160,77022.56,Dsit - Corporate Services Admin-uksbs - Service Costs,Sn2 1ff,Vendor
31/05/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Veran Performance Ltd,598107,169188.85,Dsit - Matrix Admin-other Professional Services,Kt8 9ju,Vendor
29/05/2024,Ppm Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Ernst And Young Llp,598858,61564,Dsit - Matrix Admin-ppm Consultancy,Ec2v 7tl,Vendor
15/05/2024,Project Management Costs,Dsit - Digital And Technology Group - Dsit - Ai Policy,Home Office,595995,6363315,Dsit - Digital Tech Nrf-project Management Costs,Np20 9bb,Wga Only
10/05/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,591389,212659.54,Dsit - Npl - Fec Pressure - Npif-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
10/05/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,591398,90846.82,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
10/05/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,591398,1728629.37,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
16/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,591882,81686.28,Dsit - Npl - Quantum Hub & Quantum Test-r&D Laboratory Services,Tw11 0lw,Vendor
16/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,591882,116527.96,Dsit - Npl - Quantum Hub & Quantum Test-r&D Laboratory Services,Tw11 0lw,Vendor
07/05/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,591918,4387431.09,Dsit - Met Office - Supercomputer R&D-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
07/05/2024,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,593470,283333.33,Dsit - Space Weather Service-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
02/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,593563,485918,Dsit - Nms Flow Programme At Nel-r&D Laboratory Services,G75 0qf,Vendor
