Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
24/09/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,622846,"£36,670.90",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
24/09/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,622848,"£111,502.41",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
24/09/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,622906,"£60,615.00",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
24/09/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,622910,"£36,670.90",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
24/09/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,622912,"£36,670.90",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
26/09/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,623664,"£112,802.95",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
26/09/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,623862,"£122,796.82",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
06/09/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Scottish Association For Marine Science,619606,"£129,613.19",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Pa37 1qa,Vendor
06/09/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Cfms Services Ltd,619728,"£240,712.80",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Bs16 7fr,Vendor
06/09/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Scottish Association For Marine Science,619730,"£173,883.68",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Pa37 1qa,Vendor
10/09/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Niab.,620074,"£570,528.96",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Cb3 0le,Vendor
10/09/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Film Institute (Bfi),620075,"£737,181.83",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Central Government,W1t 1ln,Vendor
19/09/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Fraunhofer Uk Research Ltd,621974,"£501,018.38",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,G1 1rd,Grant
20/09/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,622493,"£806,887.44",Dsit - Psre Infrastructure Fund - Npl-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
13/09/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",The Natural History Museum,620774,"£25,098.36",Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Sw7 5bd,Vendor
23/09/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Uk Atomic Energy Authority (Ukaea),621135,"£65,217.63",Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Ox14 3db,Wga Only
18/09/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Natural England,621363,"£55,365.00",Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Yo1 7px,Wga Only
19/09/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",The National Archives,621999,"£36,026.75",Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Tw9 4du,Wga Only
23/09/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",The National Archives,622266,"£36,026.75",Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Tw9 4du,Wga Only
26/09/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Mhra -  Medicines And Healthcare Products Regulatory Agency,623348,"£37,202.12",Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Sw1w 9sz,Wga Only
27/09/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Health And Safety Executive,623941,"£71,765.93",Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Np10 8fz,Vendor
18/09/2024,Talent And Beis Exclusive Training,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,617633,"£64,597.00",Dsit - Devolved Admin-talent And Beis Exclusive Training,Np10 8fz,Wga Only
