Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
06/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,572042,57660,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
13/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,572055,36720,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
13/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,572057,64980,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
13/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,572058,30000,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
13/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,572059,176100,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
01/03/2024,External Legal Advice And Service,Dsit - Corporate Services - Dsit - Matrix Directorate,Dac Beachcroft Llp,575346,27505.8,Dsit - Corporate Services Admin-external Legal Advice And Service,Ec4a 1bn,Vendor
06/03/2024,External Legal Advice And Service,Dsit - Corporate Services - Dsit - Matrix Directorate,Dac Beachcroft Llp,576469,63589.2,Dsit - Corporate Services Admin-external Legal Advice And Service,Ec4a 1bn,Vendor
13/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,576508,88440,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
14/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,578094,59160,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
14/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,578324,28320,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
14/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,578325,81630,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
