Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
30/08/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Mhra -  Medicines And Healthcare Products Regulatory Agency,618300,"£34,105.56",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,E14 4pu,Wga Only
30/08/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Civil Aviation Authority,618302,"£58,688.99",Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Rh6 0yr,Vendor
08/08/2024,External Legal Advice And Service,"Dsit - Science, Innovation And Growth - Dsit - Space",Supplier name withheld,614206,"£41,816.90",Financial Advice and Services,Ec2y 9ss,Vendor
21/08/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ipsos (Market Research) Ltd,616250,"£117,515.00",Dsit - Breaches-longitudinal-captains-research And Development Expenditure,E1w 1yw,Vendor
05/08/2024,Res - Npf - Agencies - General Fund,"Dsit - Science, Innovation And Growth - Dsit - Space",Uk Space Agency,613062,"£19,000,000.00",Dsit - Uk Space Agency - Supply Funding-res - Npf - Agencies - General Fund,Sn2 1sz,Wga Only
07/08/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Crisp Thinking (Uk) Ltd,613362,"£56,736.00",Dsit - Security Team Nsoit & Tech Programme-other Professional Services,Ls1 4ol,Vendor
15/08/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Behavioural Insights Ltd,615461,"£45,331.00",Dsit - Security Team Policy & International Programme-research And Development Expenditure,Ec4y 0ds,Grant
29/08/2024,Rentals Under Non-pfi Leases Exempt From Ifrs 16,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),613449,"£39,638.02",Dsit - Corporate Services Admin-rentals Under Non-pfi Leases Exempt From Ifrs 16,Sw1h 0et,Wga Only
29/08/2024,Rentals Under Non-pfi Leases Exempt From Ifrs 16,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),613449,"£95,296.37",Dsit - Corporate Services Admin-rentals Under Non-pfi Leases Exempt From Ifrs 16,Sw1h 0et,Wga Only
29/08/2024,Rentals Under Non-pfi Leases Exempt From Ifrs 16,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),613449,"£223,218.89",Dsit - Corporate Services Admin-rentals Under Non-pfi Leases Exempt From Ifrs 16,Sw1h 0et,Wga Only
29/08/2024,Rentals Under Non-pfi Leases Exempt From Ifrs 16,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),613449,"£1,904,316.38",Dsit - Corporate Services Admin-rentals Under Non-pfi Leases Exempt From Ifrs 16,Sw1h 0et,Wga Only
07/08/2024,Rent To Landlords,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),613940,"£745,718.02",Dsit - Devolved Admin-rent To Landlords,Sw1h 0et,Wga Only
30/08/2024,Business Rates,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),618334,"£3,507,905.66",Dsit - Devolved Admin-business Rates,Sw1h 0et,Wga Only
30/08/2024,Cl - Cash Cfers Paid Over To Hmt,Dsit - Digital And Technology Group - Dsit - Dtg Central,Consolidated Fund Account 6622,618670,"£39,000,000.00",Dsit- Ofcom Cfer Receipts - Central-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
08/08/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Policy,Perspective Economics Ltd,613922,"£40,390.00",Dsit - Digital Tech Nrf-research And Development Expenditure,Bt1 2be,Vendor
16/08/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Beruku Identity Ltd,615680,"£42,240.00",Dsit - Digital Identity (Prog - Main)-Other Professional Services,Ct15 5ap,Vendor
19/08/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Npl Management Ltd,616333,"£97,719.50",Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Tw11 0lw,Vendor
19/08/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ericsson Ltd,616336,"£242,100.00",Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Rg1 1lx,Vendor
19/08/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Npl Management Ltd,616355,"£707,810.00",Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Tw11 0lw,Vendor
07/08/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Hutchison 3g Uk Ltd,613933,"£83,309.76",Dsit - Cell Broadcast System Prog 1-other Professional Services,Rg2 6gf,Vendor
20/08/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Building Digital Uk (Bduk),616705,"£18,339,474.00",Dsit - Bduk Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sw1a 2bq,Grant
06/08/2024,Legal Services And Advice Agency,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Dentons Uk And Middle East Llp,613673,"£25,230.00",Dsit - Digital Tech Nrf-legal Services And Advice Agency,Ec4m 7ws,Vendor
27/08/2024,R & D Outsourced Other,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Deloitte Llp,617352,"£98,801.11",Dsit - Digital Tech Nrf-r & D Outsourced Other,Ec4a 4tr,Vendor
30/08/2024,Legal Services And Advice Agency,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Burges Salmon Llp,618329,"£29,948.40",Dsit - Digital Tech Nrf-legal Services And Advice Agency,Bs2 0zx,Vendor
30/08/2024,Business Rates,Dsit - Corporate Services - Dsit - Ics Recharges,Department For Energy Security And Net Zero (Desnz),618334,"£321,859.87",Dsit - Devolved Admin-business Rates,Sw1h 0et,Wga Only
19/08/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Science",Ministry Of Justice,616509,"£30,441.60",Dsit - Foresight: Government Science And Engineering-r & D Other Professional Services,Np20 9bb,Wga Only
05/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The Royal Society,613348,"£200,000.00",Dsit - Royal Society-r & D Current Grants To Private Sector - Npish,Sw1y 5ag,Grant
05/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Academy,613350,"£1,107,514.00",Dsit - British Academy-r & D Current Grants To Private Sector - Npish,Sw1y 5ah,Vendor
05/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Royal Academy Of Engineering Rae,613351,"£1,547,296.49",Dsit - Royal Academy Of Engineering-r & D Current Grants To Private Sector - Npish,Sw1y 5dg,Vendor
05/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Academy Of Medical Sciences,613352,"£526,284.00",Dsit - Academy Of Medical Sciences-r & D Current Grants To Private Sector - Npish,W1b 1qh,Grant
23/08/2024,R & D International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",European Commission,617621,"£317,145,801.18",Dsit - Eu Exit: Horizon Europe Association-r & D International Subscriptions,.,Grant
23/08/2024,R & D International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",European Commission,617623,"£317,145,801.18",Dsit - Eu Exit: Horizon Europe Association-r & D International Subscriptions,.,Grant
23/08/2024,R & D International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",European Commission,617624,"£73,653,659.25",Dsit - Eu Exit: Horizon Europe Association-r & D International Subscriptions,.,Grant
23/08/2024,R & D International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",European Commission,617624,"£243,492,141.93",Dsit - Eu Exit: Horizon Europe Association-r & D International Subscriptions,.,Grant
23/08/2024,International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",European Commission,617625,"£1,950,629.57",Dsit - Eu Exit: Horizon Europe Association - Participation Fee-international Subscriptions,.,Grant
23/08/2024,International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",European Commission,617625,"£17,555,675.86",Dsit - Eu Exit: Horizon Europe Association - Participation Fee-international Subscriptions,.,Grant
23/08/2024,R & D International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",European Commission,617625,"£23,877,868.04",Dsit - Eu Exit: Horizon Europe Association-r & D International Subscriptions,.,Grant
09/08/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Airbus Defence And Space Ltd,609010,"£35,925.43",Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Ne3 3af,Vendor
07/08/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Airbus Defence And Space Ltd,613997,"£27,600.00",Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Ne3 3af,Vendor
09/08/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Bluesky International Ltd,614544,"£204,545.45",Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Le65 2as,Vendor
09/08/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Bluesky International Ltd,614550,"£722,079.80",Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Le65 2as,Vendor
16/08/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Bluesky International Ltd,615636,"£28,000.00",Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Le65 2as,Vendor
29/08/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Getmapping Ltd,618157,"£31,000.00",Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Gu51 2uh,Vendor
30/08/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Qa Ltd,613946,"£540,657.22",Dsit - Online Platform-other Professional Services,Ls10 1jr,Vendor
19/08/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,The Uk Cyber Security Council,616358,"£78,341.75",Dsit - Cyber Security Council-current Grants To Private Sector - Npish,Ec3a 4aa,Grant
21/08/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Lancashire County Council,616704,"£60,000.00",Dsit - Adult Retraining-current Grants To Private Sector - Npish,Pr1 0ld,Wga Only
30/08/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Cu Services Ltd,618309,"£37,500.00",Dsit - Adult Retraining-current Grants To Private Sector - Npish,Cv1 5fb,Vendor
19/08/2024,Business Rates,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Savills (Uk) Ltd,602768,"£158,803.20",Dsit - Diversification Strategy Unit Admin-business Rates,Ec2m 7eb,Vendor
22/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Energy Systems Catapult Ltd,610361,"£78,554.97",Dsit - Catapults International Science Partnership Fund (Ispf Non-oda)-R & D Current Grants To Private Sector - Npish,B4 6bs,Vendor
22/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Energy Systems Catapult Ltd,610361,"£125,516.86",Dsit - Catapults International Science Partnership Fund (Ispf Non-oda)-R & D Current Grants To Private Sector - Npish,B4 6bs,Vendor
22/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Energy Systems Catapult Ltd,610361,"£163,956.21",Dsit - Catapults International Science Partnership Fund (Ispf Non-oda)-R & D Current Grants To Private Sector - Npish,B4 6bs,Vendor
02/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Satellite Applications Catapult Ltd,613120,"£40,718.16",Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,Ox11 0qr,Vendor
02/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Cranfield University,613139,"£175,434.00",Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,Mk43 0al,Vendor
06/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Centre For Process Innovation Ltd,613660,"£77,585.29",Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,Ts21 3fg,Grant
19/08/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Ukri - Natural Environment Research Council,616301,"£255,218.00",Dsit - Tactical Fund-r & D Current Grants To Central Government,Np10 8qq,Wga Only
19/08/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Ukri - Natural Environment Research Council,616301,"£315,000.00",Dsit - Tactical Fund-r & D Current Grants To Central Government,Np10 8qq,Wga Only
19/08/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Ukri - Natural Environment Research Council,616301,"£400,000.00",Dsit - Tactical Fund-r & D Current Grants To Central Government,Np10 8qq,Wga Only
19/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The Faraday Institution,616360,"£402,900.93",Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,Ox11 0ra,Grant
20/08/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,616687,"£35,864.18",Dsit - Met Office International Science Partnership Fund (Ispf Non-oda)-R & D Administration Of Grants And Awards,Ex1 3pb,Wga Only
20/08/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,616687,"£43,403.03",Dsit - Met Office International Science Partnership Fund (Ispf Non-oda)-R & D Administration Of Grants And Awards,Ex1 3pb,Wga Only
20/08/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,616687,"£636,032.61",Dsit - Met Office International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
20/08/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,616687,"£823,313.01",Dsit - Met Office International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
20/08/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,616689,"£219,358.92",Dsit - Met Office International Science Partnership Fund (Ispf Oda)-R & D Administration Of Grants And Awards,Ex1 3pb,Wga Only
20/08/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,616689,"£2,293,661.25",Dsit - Met Office International Science Partnership Fund (Ispf Oda)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
21/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",University Of Cambridge,616906,"£66,105.00",Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,Cb2 1ag,Vendor
23/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Energy Systems Catapult Ltd,617238,"£36,489.60",Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,B4 6bs,Vendor
23/08/2024,Application Support Service,Dsit - Corporate Services - Dsit - Analysis Directorate,Department For Energy Security And Net Zero (Desnz),616822,"£104,279.02",Dsit - Devolved Admin-application Support Service,Sw1h 0et,Wga Only
01/08/2024,Ca - Clarity Travel Management,Dsit - Corporate Services - Dsit - Commercial,Corporate Travel Management (North) Ltd,613081,"£254,925.94",Dsit - Devolved Admin-ca - Clarity Travel Management,Bd1 5hq,Vendor
16/08/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,616226,"£59,116.25",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
19/08/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,616364,"£152,735.73",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
20/08/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,616628,"£71,000.00",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
20/08/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,616630,"£36,800.00",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
20/08/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,616632,"£36,670.90",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
20/08/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,616633,"£114,136.00",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
21/08/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,616637,"£94,972.81",Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
06/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,613342,"£640,864.38",Dsit - Psre Infrastructure Fund - Nml-r & D Current Grants To Private Sector - Npish,Tw11 0ly,Grant
02/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,613343,"£469,384.69",Dsit - Psre Infrastructure Fund - Nml-r & D Current Grants To Private Sector - Npish,Tw11 0ly,Grant
15/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Niab.,615768,"£584,428.74",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Cb3 0le,Vendor
15/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Glass Futures Ltd,615769,"£330,440.93",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,S35 2py,Vendor
16/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The James Hutton Institute,616057,"£147,370.77",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Dd2 5da,Vendor
19/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Cfms Services Ltd,616265,"£293,524.80",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Bs16 7fr,Vendor
19/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Moredun Research Institute,616307,"£70,105.00",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Eh26 0pz,Grant
19/08/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Ncc Operations Ltd,616520,"£460,008.58",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Bs16 7fs,Grant
27/08/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Film Institute (Bfi),617605,"£127,833.78",Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Central Government,W1t 1ln,Vendor
21/08/2024,International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - Space",European Commission,615355,"£123,089.24",Dsit - Copernicus Participation Fees-international Subscriptions,.,Grant
21/08/2024,International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - Space",European Commission,615355,"£1,107,800.81",Dsit - Copernicus Participation Fees-international Subscriptions,.,Grant
21/08/2024,R & D International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - Space",European Commission,615355,"£6,154,451.54",Dsit - Space Directorate - Copernicus Association-r & D International Subscriptions,.,Grant
21/08/2024,R & D International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - Space",European Commission,615355,"£55,390,050.97",Dsit - Space Directorate - Copernicus Association-r & D International Subscriptions,.,Grant
