Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
22/10/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Uk Cyber Cluster Collaboration Pilot (Ukc3),629421,250000,Dsit - Ukc3 Regional Clusters Prog-current Grants To Private Sector - Npish,Gl50 3ff,Grant
23/10/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,The Uk Cyber Security Council,630001,84524.09,Dsit - Cyber Security Council-current Grants To Private Sector - Npish,Ec3a 4aa,Grant
29/10/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Lancashire County Council,630883,56000,Dsit - Northern Accelerator-current Grants To Private Sector - Npish,Pr1 8xj,Wga Only
17/10/2024,R & D Professional Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Science",Business Funding Research Ltd T/A Beauhurst,628551,48681.6,Dsit - Insights & Emtech-r & D Professional Subscriptions,Mk44 3ql,Vendor
04/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Offshore Renewable Energy Catapult,622198,49390.84,Dsit - Offshore Renewable Energy Catapult (Ispf Non-oda)-R & D Current Grants To Private Sector - Npish,Ne24 1lz,Grant
04/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Offshore Renewable Energy Catapult,622198,109646.14,Dsit - Offshore Renewable Energy Catapult (Ispf Non-oda)-R & D Current Grants To Private Sector - Npish,Ne24 1lz,Grant
01/10/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Wilton Park Executive Agency,622856,100000,Dsit - Tactical Fund-r & D Research And Development Expenditure,Bn44 3dz,Vendor
02/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Energy Systems Catapult Ltd,624720,32482.43,Dsit - Energy Systems Catapult (Ispf Non-oda)-R & D Current Grants To Private Sector - Npish,B4 6bs,Vendor
02/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Energy Systems Catapult Ltd,624720,51320.23,Dsit - Energy Systems Catapult (Ispf Non-oda)-R & D Current Grants To Private Sector - Npish,B4 6bs,Vendor
11/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Academy Of Medical Sciences,625075,440200.5,Dsit - Academy Of Medical Sciences International Science Partnership Fund (Ispf Oda)-R & D Current Grants To Private Sector - Npish,W1b 1qh,Grant
03/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Royal Academy Of Engineering Rae,625115,158562.95,Dsit - Royal Academy Of Engineering International Science Partnership Fund (Ispf Oda)-R & D Current Grants To Private Sector - Npish,Sw1y 5dg,Vendor
03/10/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Royal Academy Of Engineering Rae,625115,92400.63,Dsit - Royal Academy Of Engineering International Science Partnership Fund (Ispf Oda)-R & D Administration Of Grants And Awards,Sw1y 5dg,Vendor
03/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Royal Academy Of Engineering Rae,625116,629866.58,Dsit - Royal Academy Of Engineering International Science Partnership Fund (Ispf Non-oda)-R & D Current Grants To Private Sector - Npish,Sw1y 5dg,Vendor
03/10/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Royal Academy Of Engineering Rae,625116,44464.84,Dsit - Royal Academy Of Engineering International Science Partnership Fund (Ispf Non-oda)-R & D Administration Of Grants And Awards,Sw1y 5dg,Vendor
03/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Royal Academy Of Engineering Rae,625117,234054.34,Dsit - Royal Academy Of Engineering - Global Challenges Research Fund-r & D Current Grants To Private Sector - Npish,Sw1y 5dg,Vendor
03/10/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Royal Academy Of Engineering Rae,625117,217838.01,Dsit - Royal Academy Of Engineering - Global Challenges Research Fund-r & D Administration Of Grants And Awards,Sw1y 5dg,Vendor
04/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The Faraday Institution,625331,297709.87,Dsit - Faraday Institute (Ispf Non-oda)-R & D Current Grants To Private Sector - Npish,Ox11 0ra,Grant
04/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Academy,625572,2025419.62,Dsit - British Academy - Global Challenges Research Fund-r & D Current Grants To Private Sector - Npish,Sw1y 5ah,Vendor
04/10/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Academy,625572,347761.5,Dsit - British Academy - Global Challenges Research Fund-r & D Administration Of Grants And Awards,Sw1y 5ah,Vendor
04/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Academy,625579,2411919.1,Dsit - British Academy International Science Partnership Fund (Ispf Oda)-R & D Current Grants To Private Sector - Npish,Sw1y 5ah,Vendor
04/10/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Academy,625579,560966,Dsit - British Academy International Science Partnership Fund (Ispf Oda)-R & D Administration Of Grants And Awards,Sw1y 5ah,Vendor
