Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
22/02/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Perspective Economics Ltd,572729,52462.5,Dsit - Technology Team-research And Development Expenditure,Bt1 2be,Vendor
16/02/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ncc Group Security Services Ltd,561070,63750,Dsit - Diversification Strategy Prog-consultancy Expenditure,M3 3aq,Vendor
12/02/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Surrey,567848,1684193.09,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Gu2 7xh,Vendor
01/02/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,West Sussex County Council,567857,57150,Dsit - 5g Adoption R&D-capital Grants To Local Government,Po19 1rq,Grant
05/02/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Awtg Ltd,568499,272882.57,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,W3 7sr,Grant
05/02/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telet Research (Ni) Ltd,568541,481481.57,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Sw1p 3rx,Grant
08/02/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Dense Air Ltd,569546,242908.03,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Sl7 1ey,Grant
13/02/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Awtg Ltd,570442,649653.04,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,W3 7sr,Grant
14/02/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,570748,336066.92,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
19/02/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telecom Infra Project Inc,571088,421676.39,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,01880,Grant
16/02/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ncc Group Security Services Ltd,571350,31875,Dsit - Diversification Strategy Prog-consultancy Expenditure,M3 3aq,Vendor
20/02/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Coventry City Council,572031,100000,Dsit - Streetworks Trials R&D-capital Grants To Local Government,Cv1 5rr,Wga Only
27/02/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cumberland Council,574021,1053721.76,Dsit - 5g Adoption R&D-capital Grants To Local Government,Ca1 1rd,Grant
29/02/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,West Midlands Combined Authority,574155,627379.8,Dsit - 5g Adoption R&D-capital Grants To Local Government,B19 3sd,Grant
