Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
05/04/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Internet Matters Ltd,586710,64910,Dsit - Oh B&Us Measures Prog-capital Grants To Private Sector - Companies,W2 1qs,Grant
09/04/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Esro Ltd T/A Revealing Reality,587275,39289.2,Dsit - Oh B&Us Measures Prog-capital Grants To Private Sector - Companies,Sw4 0jw,Vendor
05/04/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telet Research (Ni) Ltd,582842,1193657.95,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Sw1p 3rx,Grant
02/04/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telecom Infra Project Inc,583835,912282.77,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,01880,Grant
02/04/2024,R & D Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Kpmg Llp,585249,60000,Dsit - 5gir -5g Innovation Regions-r & D Consultancy Expenditure,E14 5gl,Vendor
02/04/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telefonica Uk Ltd,585342,344268.87,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,Rg2 6uu,Vendor
02/04/2024,R & D Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Icf Consulting Services Ltd,585380,268560,Dsit - Future Networks R&D Capital Grants-r & D Consultancy Expenditure,Sw6 5nr,Vendor
09/04/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,587297,1298131.92,Dsit- Onp-sonic-smartran Open Network Interoperability Centre-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
09/04/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Awtg Ltd,587331,191180.57,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,W3 7sr,Grant
16/04/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Surrey,589151,1614682.31,Dsit- Onp-fonrc-future Open Network Research Challenge-capital Grants To Private Sector - Companies,Gu2 7xh,Vendor
