Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
10/02/2025,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Cheri Alliance Cic,656078,31213.82,Dsit - Digital Security By Design-current Grants To Private Sector - Npish,Cb1 2la,Grant
06/02/2025,Other Services,Dsit - Digital And Technology Group - Dsit - Dtg Central,Uk Shared Business Services Ltd,635692,80656.8,Dsit - Dtg Bduk Recharge Allocation-other Services,Np10 8qq,Vendor
21/02/2025,Other Services,Dsit - Digital And Technology Group - Dsit - Dtg Central,Uk Shared Business Services Ltd,659660,49626,Dsit - Dtg Bduk Recharge Allocation-other Services,Sn2 1ff,Vendor
06/02/2025,Learning And Dev - Cs Skills,Dsit - Corporate Services - Dsit - Human Resources,Ernst And Young Llp,654246,102168,Dsit - Devolved Admin-learning And Dev - Cs Skills,Se1 2af,Vendor
28/02/2025,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Oliver Wyman Ltd,659438,206800,Dsit - Digital Identity (Prog - Main)-Research And Development Expenditure,W1u 8ew,Vendor
03/02/2025,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Building Digital Uk (Bduk),654258,25000000,Dsit - Bduk Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sw1a 2bq,Grant
21/02/2025,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Building Digital Uk (Bduk),659667,18000000,Dsit - Bduk Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sw1a 2bq,Grant
27/02/2025,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Hutchison 3g Uk Ltd,660574,65926.26,Dsit - Cell Broadcast System Prog 1-other Professional Services,Rg2 6gf,Vendor
25/02/2025,R & D Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Mila Institute Quebecois D'lntelligence Artificielle,658526,100000,Dsit - Digital Tech Nrf-r & D Consultancy Expenditure,H2s 3h1,Vendor
25/02/2025,Legal Services And Advice Agency,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Dentons Uk And Middle East Llp,659763,28292,Dsit - Digital Tech Nrf-legal Services And Advice Agency,Ec4m 7ws,Vendor
25/02/2025,Legal Services And Advice Agency,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Dentons Uk And Middle East Llp,659765,30987.12,Dsit - Digital Tech Nrf-legal Services And Advice Agency,Ec4m 7ws,Vendor
24/02/2025,It Software Licences And Software Maintenance,"Dsit - Corporate Services - Dsit - Finance, Project And Risk Directorate",Inphase Ltd,659679,55440,Dsit - Devolved Admin-it Software Licences And Software Maintenance,Ng11 6js,Vendor
17/02/2025,Apprenticeship Levy,Dsit - Corporate Services - Dsit - Human Resources,Hm Revenue And Customs,656387,52126,Dsit - Devolved Admin-apprenticeship Levy,Bd98 8aa,Wga Only
13/02/2025,R & D Outsourced Other,Dsit - Digital And Technology Group - Dsit - Ai Policy,Perspective Economics Ltd,657209,47106,Dsit - Office For Ai Prog-r & D Outsourced Other,Bt1 2be,Vendor
25/02/2025,R & D Outsourced Other,Dsit - Digital And Technology Group - Dsit - Ai Policy,Iff Research Ltd,658756,30309,Dsit - Office For Ai Prog-r & D Outsourced Other,Se1 0hr,Vendor
05/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The Royal Society,655269,5050000,Dsit - Royal Society-r & D Current Grants To Private Sector - Npish,Sw1y 5ag,Grant
05/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Academy,655271,8820745,Dsit - British Academy-r & D Current Grants To Private Sector - Npish,Sw1y 5ah,Vendor
05/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Royal Academy Of Engineering Rae,655272,4535212.13,Dsit - Royal Academy Of Engineering-r & D Current Grants To Private Sector - Npish,Sw1y 5dg,Vendor
05/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Academy Of Medical Sciences,655275,537486,Dsit - Academy Of Medical Sciences-r & D Current Grants To Private Sector - Npish,W1b 1qh,Grant
07/02/2025,Marketing And Media,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Digital Unlimited Group Ltd,656095,114000,Dsit - Eu Exit: Horizon Europe Association - Participation Fee-marketing And Media,Wc2h 9ea,Vendor
03/02/2025,Strategy Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Dla Piper Uk Llp,654507,27367.73,Dsit - Devolved Admin-strategy Consultancy,Ec1a 4ht,Vendor
05/02/2025,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Getmapping Ltd,653411,31000,Dsit - Aerial Photography Great Britain Apgb-r & D Other Professional Services,Gu51 2uh,Vendor
05/02/2025,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Bluesky International Ltd,654243,28000,Dsit - Aerial Photography Great Britain Apgb-r & D Other Professional Services,Le65 2as,Vendor
05/02/2025,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Bluesky International Ltd,654244,204545.45,Dsit - Aerial Photography Great Britain Apgb-r & D Other Professional Services,Le65 2as,Vendor
11/02/2025,Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Kpmg Llp,654493,95700,Dsit - Geospatial Programme-other Professional Services,Wd17 1de,Vendor
18/02/2025,External Legal Advice And Service,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Dla Piper Uk Llp,658493,42035.97,Dsit - International Data Flows-external Legal Advice And Service,S1 2jx,Vendor
24/02/2025,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Plexal (City) Ltd,655317,38788.08,Dsit - Cyber Runway-other Professional Services,E20 3bs,Vendor
05/02/2025,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Qa Ltd,655330,226705.66,Dsit - Online Platform-other Professional Services,Ec4n 6hl,Vendor
24/02/2025,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,The Uk Cyber Security Council,659680,71655.76,Dsit - Cyber Security Council-current Grants To Private Sector - Npish,Ec3a 4aa,Grant
25/02/2025,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Escal Institute Of Advanced Technologies T/A Sans Institute,660043,126108,Dsit - Online Platform-other Professional Services,Wc2b 5ah,Vendor
13/02/2025,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Academy,656890,165761.5,Dsit - British Academy - Global Challenges Research Fund-r & D Administration Of Grants And Awards,Sw1y 5ah,Vendor
13/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Academy,656890,1431258.95,Dsit - British Academy - Global Challenges Research Fund-r & D Current Grants To Private Sector - Npish,Sw1y 5ah,Vendor
12/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Energy Systems Catapult Ltd,657203,41940.91,Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,B4 6bs,Vendor
