Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
21/05/2025,Marketing And Media,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,London Economics Ltd,688172,104700,Dsit - Soh Strategy And Analysis Programme-marketing And Media,Wc2r 1la,Vendor
14/05/2025,Legal Services And Advice Agency,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Pinsent Masons Llp,675436,25304.7,Dsit - Diversification Strategy Prog-legal Services And Advice Agency,G2 5ea,Vendor
14/05/2025,Legal Services And Advice Agency,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Pinsent Masons Llp,675436,25824.5,Dsit - Diversification Strategy Prog-legal Services And Advice Agency,G2 5ea,Vendor
06/05/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Nec Europe Ltd,683113,486439.94,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Ha4 6qe,Grant
14/05/2025,R & D Current Grants To Central Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Glasgow City Council,684604,1997369,Dsit - 5gir -5g Innovation Regions-r & D Current Grants To Central Government,G2 1du,Vendor
14/05/2025,R & D Current Grants To Central Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Sunderland City Council,684605,1911143,Dsit - 5gir -5g Innovation Regions-r & D Current Grants To Central Government,Sr1 3aa,Wga Only
14/05/2025,R & D Current Grants To Central Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,West Sussex County Council,684606,715034,Dsit - 5gir -5g Innovation Regions-r & D Current Grants To Central Government,Po19 1rq,Grant
13/05/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Liverpool,685670,677728.98,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,L69 7zx,Vendor
15/05/2025,R & D Current Grants To Central Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,North Ayrshire Council,685759,175000,Dsit - 5gir -5g Innovation Regions-r & D Current Grants To Central Government,Ka12 8ee,Grant
27/05/2025,R & D Current Grants To Central Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,West Midlands Combined Authority,685794,1056236,Dsit - 5gir -5g Innovation Regions-r & D Current Grants To Central Government,B19 3sd,Grant
20/05/2025,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Dorset Council,687760,484746.27,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Dt1 1xj,Vendor
22/05/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ultracell Networks Ltd,688993,130928.75,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Ls2 3aa,Vendor
27/05/2025,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Microsoft Research Ltd,689679,308307.5,Dsit- Onp-one-open Networks Ecosystem-current Grants To Private Sector - Npish,Cb1 2fb,Grant
30/05/2025,R & D Current Grants To Central Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Oxfordshire County Council,690977,140000,Dsit - 5gir -5g Innovation Regions-r & D Current Grants To Central Government,Ox1 1nd,Wga Only
01/05/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,681347,75000000,Dsit - Bbsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Wga Only
01/05/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Engineering And Physical Sciences Research Council,681348,290000000,Dsit - Epsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Vendor
01/05/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Economic And Social Research Council,681350,60000000,Dsit - Esrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1uj,Wga Only
01/05/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri-innovate Uk,681351,300000000,Dsit - Tsb Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
01/05/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Medical Research Council,681354,182370000,Dsit - Mrc Financing-grant-in-aid To Arms Length Bodies,W1n 4al,Wga Only
01/05/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Natural Environment Research Council,681355,58160000,Dsit - Nerc Financing-grant-in-aid To Arms Length Bodies,Sn2 1eu,Wga Only
01/05/2025,Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,681358,10000000,Dsit - Research Councils Pension Scheme (Bbsrc) - Grant-current Grants To Central Government,Sn2 1uh,Wga Only
01/05/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Science And Technology Facilities Council,681359,70000000,Dsit - Stfc Financing-grant-in-aid To Arms Length Bodies,Sn2 1sz,Wga Only
01/05/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Arts And Humanities Research Council,681360,35000000,Dsit - Ahrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
01/05/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Advanced Research And Invention Agency (Aria),681369,8852961,Dsit - Advanced Research And Invention Agency (Aria) Financing-grant-in-aid To Arms Length Bodies,Nw1 2da,Grant
16/05/2025,R & D Uncapitalised Construction Costs,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Government Property Agency,687111,167084.99,Dsit - Ecmwf Hq-r & D Uncapitalised Construction Costs,B3 2bj,Vendor
22/05/2025,R & D Uncapitalised Construction Costs,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Government Property Agency,689101,3522998.5,Dsit - Ecmwf Hq-r & D Uncapitalised Construction Costs,B3 2bj,Vendor
02/05/2025,Capital Grants To Private Sector - Persons & Npish,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Ortho-clinical Diagnostics,683059,4900000,Dsit - Life Sciences Innovative Manufacturing Fund-capital Grants To Private Sector - Persons & Npish,Cf35 5pz,Vendor
07/05/2025,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Ipsos (Market Research) Ltd,684347,41651.66,Dsit - Life Sciences Innovative Manufacturing Fund-r & D Research And Development Expenditure,E1w 1yw,Vendor
19/05/2025,Other Goods/Services,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Centre For Process Innovation Ltd,687768,395934.4,Dsit: Ols Marrs-other Goods/Services,Ts21 3fg,Grant
23/05/2025,Consultancy Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Deloitte Llp,689633,83333.33,Dsit - Devolved Admin-consultancy Expenditure,Ec4a 3hq,Vendor
06/05/2025,Personnel-related Expenditure,Dsit - Digital And Technology Group - Dsit - Responsible Technology Adoption Unit,Kings College London,683103,34070,Dsit - Trigs - Itu & Internet Governance - Admin-personnel-related Expenditure,Se1 8wa,Vendor
22/05/2025,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Information Commissioners Office,689295,627500,Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
02/05/2025,Membership Of Organisations,Dsit - Digital And Technology Group - Dsit - International,Commonwealth Telecommunications Organisation,681881,35000,Dsit - Trigs - Itu & Internet Governance - Programme-membership Of Organisations,W6 0lr,Grant
22/05/2025,R & D Other Professional Services,Dsit - Chief Scientific Adviser - Dsit - Csa Dg Office,Ifm Engage Ltd,689107,27000,Dsit - Cs - Csa - R&D-r & D Other Professional Services,Cb3 0fs,Vendor
22/05/2025,R & D Other Professional Services,Dsit - Chief Scientific Adviser - Dsit - Csa Dg Office,Ifm Engage Ltd,689274,30000,Dsit - Cs - Csa - R&D-r & D Other Professional Services,Cb3 0fs,Vendor
12/05/2025,Organisational  Change Management Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Veran Performance Ltd,671626,34694.4,Dsit - Matrix Admin-org  Change Managt Consultcy,Kt8 9ju,Vendor
28/05/2025,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Cabinet Office,682164,40044,Dsit - Matrix Admin-other Professional Services,Np10 8fz,Wga Only
12/05/2025,Organisational  Change Management Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Investigo Ltd,685059,136800,Dsit - Matrix Admin-org  Change Managt Consultcy,E1 6eg,Vendor
14/05/2025,Ppm Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Ernst And Young Llp,685701,39798,Dsit - Matrix Admin-ppm Consultancy,Se1 2af,Vendor
20/05/2025,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,686618,29880,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
20/05/2025,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,686622,158490,Dsit - Matrix Admin-technical Advice / Services & Support,E1 1ew,Vendor
20/05/2025,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,686626,38400,Dsit - Devolved Admin-technical Advice / Services & Support,E1 1ew,Vendor
20/05/2025,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,686627,165300,Dsit - Devolved Admin-technical Advice / Services & Support,E1 1ew,Vendor
21/05/2025,Organisational  Change Management Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Deloitte Llp,688283,1595340,Dsit - Matrix Admin-org  Change Managt Consultcy,Ec4a 3bz,Vendor
21/05/2025,Organisational  Change Management Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Deloitte Llp,688285,83460,Dsit - Matrix Admin-org  Change Managt Consultcy,Ec4a 3bz,Vendor
29/05/2025,Ppm Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Ernst And Young Llp,690953,30900,Dsit - Matrix Admin-ppm Consultancy,Se1 2af,Vendor
21/05/2025,R & D Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - International,Silicon Catalyst Uk Ltd,687900,30000,Dsit - I&Es - Semis - Programme-r & D Research And Development Expenditure,Sw1p 2pn,Vendor
21/05/2025,R & D Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - International,Silicon Catalyst Uk Ltd,688335,70000,Dsit - I&Es - Semis - Programme-r & D Research And Development Expenditure,Sw1p 2pn,Vendor
07/05/2025,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,681426,5219262.08,Dsit - Met Office - Supercomputer R&D-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
08/05/2025,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,681629,87897.07,Dsit - Npl - Fec Pressure - Npif-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
07/05/2025,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,682098,557916.66,Dsit - Space Weather Service-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
07/05/2025,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,682128,3245612.92,Dsit - Met Office - Supercomputer R&D-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
01/05/2025,Nca - Additions - Other Loans - Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,682793,30000000,Dsit - Met Office: Eumetsat Second Generation Polar Satellite-nca - Additions - Other Loans - Public Corporations,Ex1 3pb,Wga Only
07/05/2025,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,683299,1883250,Dsit - Hadley Centre-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
19/05/2025,Service Charges,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Homes England,687104,107975.27,Dsit - Hca : Innovation (Ex Rda Assets)-Service Charges,Ne4 5bz,Vendor
20/05/2025,Clearing Account - Cost - Assets Under Construction - Freehold Building,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,687816,1856597.04,Dsit - Nms - Npl Buildings And Infrastructre (Sci-ringfence)-Clearing Account - Cost - Assets Under Construction - Freehold Building,Tw11 0lw,Vendor
23/05/2025,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Hm Revenue And Customs,688254,12007830.85,Dsit - Met Office - Hpc Supercomputer Cdel-r & D Research And Development Expenditure,Bx5 5ab,Wga Only
22/05/2025,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,689080,1581120,Dsit - Nms - Npl Cross Sector-r&D Laboratory Services,Tw11 0lw,Vendor
22/05/2025,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,689084,2166900,Dsit - Nms - Npl Energy And Environment-r&D Laboratory Services,Tw11 0lw,Vendor
22/05/2025,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,689085,2081700,Dsit - Nms - Npl Life Sciences And Health-r&D Laboratory Services,Tw11 0lw,Vendor
22/05/2025,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,689087,1905999.6,Dsit - Nms - Npl Advanced Manufacturing-r&D Laboratory Services,Tw11 0lw,Vendor
22/05/2025,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,689089,1836099.6,Dsit - Nms - Npl Digital-r&D Laboratory Services,Tw11 0lw,Vendor
30/05/2025,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,689999,1905999.6,Dsit - Nms - Npl Advanced Manufacturing-r&D Laboratory Services,Tw11 0lw,Vendor
30/05/2025,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,690001,1581120,Dsit - Nms - Npl Cross Sector-r&D Laboratory Services,Tw11 0lw,Vendor
28/05/2025,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,690014,380990.86,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
30/05/2025,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,690952,2081700,Dsit - Nms - Npl Life Sciences And Health-r&D Laboratory Services,Tw11 0lw,Vendor
29/05/2025,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,690966,3245612.92,Dsit - Met Office - Supercomputer R&D-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
06/05/2025,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Prism Infosec Ltd,683540,27200,Dsit - Res Policy Development Prog-other Professional Services,Gl50 1ta,Vendor
30/05/2025,Other Goods/Services,"Dsit - Science, Innovation And Growth - Dsit - Space",European Commission,690783,138219.1,Dsit - Devolved Admin-other Goods/Services,.,Grant
30/05/2025,Other Goods/Services,"Dsit - Science, Innovation And Growth - Dsit - Space",European Commission,690783,1348468.54,Dsit - Devolved Admin-other Goods/Services,.,Grant
30/05/2025,Other Goods/Services,"Dsit - Science, Innovation And Growth - Dsit - Space",European Commission,690783,5528772.18,Dsit - Devolved Admin-other Goods/Services,.,Grant
30/05/2025,Other Goods/Services,"Dsit - Science, Innovation And Growth - Dsit - Space",European Commission,690783,53938733.42,Dsit - Devolved Admin-other Goods/Services,.,Grant
23/05/2025,Economic Consultancy & Research,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Crisp Thinking (Uk) Ltd,687520,30500,Dsit - Soh Info Threats And Security Programme-economic Consultancy & Research,Ls1 4ol,Vendor
27/05/2025,Other Goods/Services,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Cabinet Office,689351,48400.46,Dsit - Soh Info Resilience & Public Safety Admin-other Goods/Services,Np10 8fz,Wga Only
14/05/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology, Growth And Security",Psiquantum Ltd,685786,224129.47,Dsit - Psi Quantum-r & D Current Grants To Private Sector - Npish,Sl1 7lw,Grant
14/05/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology, Growth And Security",Psiquantum Ltd,685786,274086.71,Dsit - Psi Quantum-r & D Current Grants To Private Sector - Npish,Sl1 7lw,Grant
01/05/2025,Cl - Accrued Operating Cfer,Dsit - Digital And Technology Group - Dsit - Dtg Central,States Of Guernsey,681633,335296.11,Dsit- Ofcom Cfer Receipts - Central-cl - Accrued Operating Cfer,Gy1 3wh,Vendor
