Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
05/06/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,688971,1137303.75,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
05/06/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Tv Group Ltd,691976,241521.83,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Se1 7tp,Grant
04/06/2025,R & D Current Grants To Central Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Greater Manchester Combined Authority,691985,250000,Dsit - 5gir -5g Innovation Regions-r & D Current Grants To Central Government,M1 6eu,Wga Only
05/06/2025,R & D Current Grants To Central Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Belfast City Council,692793,1300000,Dsit - 5gir -5g Innovation Regions-r & D Current Grants To Central Government,Bt2 8dj,Wga Only
11/06/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of York,693027,694088.32,Dsit- Onp-fonrc-future Open Network Research Challenge-capital Grants To Private Sector - Companies,Yo10 5dd,Vendor
10/06/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,693954,108451.3,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
13/06/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telecom Infra Project Inc,694019,554732.22,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,1880,Grant
26/06/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Compound Semiconductor Applications Catapult Ltd,698036,100785.23,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Np10 8be,Grant
25/06/2025,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Sunderland City Council,698178,496758.09,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Sr1 3aa,Wga Only
02/06/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Science And Technology Facilities Council,689938,105000000,Dsit - Stfc Financing-grant-in-aid To Arms Length Bodies,Sn2 1sz,Wga Only
02/06/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri-innovate Uk,689939,105000000,Dsit - Tsb Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
